RouterName,TotalTime,Location,Goroutines,TotalRequest,ActualTime,ReadSize,RequestsPerSecond,TransferPerSecond,AverageRequestTime,FastestRequestTime,SlowestRequestTime,NumberOfError
httprouter,1s,/,5,21461,974.523489ms,2.33MB,22022.04,2.39MB,227.045µs,87.757µs,10.051557ms,0
httprouter,1s,/users,5,19847,976.279494ms,2.16MB,20329.22,2.21MB,245.951µs,94.757µs,13.260696ms,0
httprouter,1s,/user/yamiodymel,5,20183,976.207669ms,2.19MB,20674.90,2.25MB,241.839µs,99.275µs,9.982261ms,0
davai,1s,/,5,20894,977.349542ms,2.27MB,21378.23,2.32MB,233.882µs,102.35µs,9.215943ms,0
davai,1s,/users,5,21020,976.850643ms,2.29MB,21518.13,2.34MB,232.362µs,98.593µs,7.417254ms,0
davai,1s,/user/yamiodymel,5,19575,977.260692ms,2.13MB,20030.48,2.18MB,249.619µs,100.984µs,8.52209ms,0
martini,1s,/,5,18746,980.215012ms,2.04MB,19124.38,2.08MB,261.446µs,109.871µs,7.04148ms,0
martini,1s,/users,5,18668,978.932789ms,2.03MB,19069.75,2.07MB,262.195µs,110.995µs,6.219469ms,0
martini,1s,/user/yamiodymel,5,17660,980.735897ms,1.92MB,18006.89,1.96MB,277.671µs,105.203µs,5.77821ms,0
pat,1s,/,5,20290,977.685135ms,2.21MB,20753.10,2.26MB,240.927µs,98.414µs,8.490787ms,0
pat,1s,/users,5,20514,976.922789ms,2.23MB,20998.59,2.28MB,238.111µs,98.595µs,8.640857ms,0
pat,1s,/user/yamiodymel,5,20130,976.5569ms,2.19MB,20613.24,2.24MB,242.562µs,96.061µs,5.897372ms,0
gin,1s,/,5,20695,976.832501ms,2.25MB,21185.82,2.30MB,236.006µs,102.876µs,9.796286ms,0
gin,1s,/users,5,20038,978.336144ms,2.18MB,20481.71,2.23MB,244.12µs,101.129µs,7.062023ms,0
gin,1s,/user/yamiodymel,5,20418,976.277778ms,2.22MB,20914.13,2.27MB,239.072µs,97.201µs,9.637922ms,0
mux,1s,/,5,19581,979.015927ms,2.13MB,20000.70,2.17MB,249.991µs,107.11µs,9.582802ms,0
mux,1s,/users,5,19956,978.766366ms,2.17MB,20388.93,2.22MB,245.231µs,106.66µs,8.519763ms,0
mux,1s,/user/yamiodymel,5,18873,978.69663ms,2.05MB,19283.81,2.10MB,259.284µs,108.623µs,7.767427ms,0
gramework,1s,/,5,24399,971.299288ms,4.54MB,25119.96,4.67MB,199.044µs,83.565µs,9.665596ms,0
gramework,1s,/users,5,24650,970.179037ms,4.58MB,25407.68,4.72MB,196.79µs,81.81µs,7.573518ms,0
gramework,1s,/user/yamiodymel,5,24170,970.353797ms,4.49MB,24908.44,4.63MB,200.735µs,82.988µs,7.043915ms,0
httptreemux,1s,/,5,21315,977.490149ms,2.32MB,21805.85,2.37MB,229.296µs,97.394µs,6.210452ms,0
httptreemux,1s,/users,5,20782,978.039254ms,2.26MB,21248.64,2.31MB,235.309µs,101.862µs,6.054048ms,0
httptreemux,1s,/user/yamiodymel,5,20811,976.607479ms,2.26MB,21309.48,2.32MB,234.637µs,102.319µs,5.591169ms,0
echo,1s,/,5,20656,978.555962ms,2.25MB,21108.65,2.29MB,236.869µs,103.023µs,6.83768ms,0
echo,1s,/users,5,18813,977.081716ms,2.05MB,19254.27,2.09MB,259.682µs,99.789µs,13.782825ms,0
echo,1s,/user/yamiodymel,5,19662,975.812493ms,2.14MB,20149.36,2.19MB,248.146µs,99.213µs,7.825965ms,0
beego,1s,/,5,17493,981.827359ms,2.30MB,17816.78,2.34MB,280.634µs,119.443µs,7.376552ms,0
beego,1s,/users,5,17137,980.832843ms,2.26MB,17471.89,2.30MB,286.174µs,114.934µs,5.526799ms,0
beego,1s,/user/yamiodymel,5,16862,979.405581ms,2.22MB,17216.57,2.27MB,290.417µs,124.794µs,6.023664ms,0
